Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.041,10.22
150120,2015,1,20,256.489,0.072,10.66
150127,2015,1,27,267.267,0.134,10.15
150129,2015,1,29,262.889,0.165,10.01
150204,2015,2,4,259.424,0.072,9.54
150209,2015,2,9,279.533,0.907,9.38
150210,2015,2,10,282.378,0.876,9.11
150218,2015,2,18,259.424,0.752,10.12
150221,2015,2,21,281.867,0.984,10.27
150516,2015,5,16,316.622,0.938,10.97
150525,2015,5,25,313.1,0.938,10.64
150713,2015,7,13,297.478,0.382,10.74
150723,2015,7,23,297.667,0.907,9.58
150724,2015,7,24,299.656,0.938,10.55
150727,2015,7,27,287.236,0.876,9.93
150728,2015,7,28,283.3,0.938,10.08
150806,2015,8,6,280.9,0.134,10.73
150807,2015,8,7,294.456,0.227,10.16
150808,2015,8,8,301.567,0.258,9.56
150809,2015,8,9,289.411,0.165,10.17
150810,2015,8,10,284.181,0.227,9.69
150811,2015,8,11,284.767,0.134,10.18
150812,2015,8,12,293.078,0.072,10.89
150813,2015,8,13,283.867,0.072,10.88
151025,2015,10,25,260.191,0.722,9.61
151026,2015,10,26,258.044,0.722,10.26
151027,2015,10,27,260.191,1.0,11.04
151028,2015,10,28,252.767,0.876,9.67
151102,2015,11,2,256.978,0.66,10.18
160116,2016,1,16,285.522,0.722,9.15
160128,2016,1,28,278.367,0.691,9.38
160201,2016,2,1,252.978,0.752,9.47
160204,2016,2,4,259.424,0.722,10.14
160218,2016,2,18,259.424,0.907,9.79
160223,2016,2,23,259.424,0.629,10.9
160225,2016,2,25,259.424,0.752,10.77
160425,2016,4,25,292.233,0.814,10.57
160426,2016,4,26,294.422,0.938,9.44
160427,2016,4,27,290.533,0.783,10.23
160428,2016,4,28,282.3,0.907,10.4
160506,2016,5,6,287.7,0.783,10.32
160510,2016,5,10,287.812,0.969,9.83
160524,2016,5,24,287.812,0.984,10.87
160702,2016,7,2,287.236,0.041,9.16
160708,2016,7,8,292.267,0.041,10.08
160709,2016,7,9,287.0,0.072,10.07
160811,2016,8,11,291.189,0.018,9.21
