Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,258.8,0.289,10.2
150112,2015,1,12,254.6,0.444,10.55
150117,2015,1,17,258.1,0.444,9.5
150120,2015,1,20,257.689,0.32,10.34
150127,2015,1,27,248.722,0.351,10.62
150129,2015,1,29,255.489,0.382,10.72
150204,2015,2,4,258.238,0.351,9.78
150207,2015,2,7,258.633,0.413,9.43
150208,2015,2,8,257.925,0.258,10.06
150209,2015,2,9,267.1,0.32,9.02
150210,2015,2,10,261.9,0.32,10.43
150211,2015,2,11,270.822,0.382,10.87
150218,2015,2,18,269.833,0.382,10.6
150219,2015,2,19,250.922,0.444,10.2
150220,2015,2,20,258.843,0.505,10.99
150225,2015,2,25,271.467,0.444,10.64
150226,2015,2,26,256.786,0.382,10.86
150303,2015,3,3,258.656,0.567,10.78
150312,2015,3,12,258.548,0.444,10.26
150322,2015,3,22,259.1,0.505,9.39
150323,2015,3,23,256.211,0.505,10.68
150324,2015,3,24,259.643,0.505,10.2
150327,2015,3,27,251.822,0.536,10.1
150328,2015,3,28,258.548,0.505,9.47
150329,2015,3,29,263.733,0.475,10.03
150330,2015,3,30,252.0,0.505,9.27
150402,2015,4,2,256.144,0.629,9.78
150423,2015,4,23,256.867,0.66,9.62
150426,2015,4,26,257.711,0.475,10.0
150428,2015,4,28,247.956,0.505,10.52
150429,2015,4,29,255.25,0.505,9.96
150430,2015,4,30,255.533,0.505,9.13
150501,2015,5,1,236.633,0.475,9.81
150508,2015,5,8,248.554,0.876,9.78
150509,2015,5,9,250.733,0.598,9.92
150515,2015,5,15,248.554,0.629,9.62
150516,2015,5,16,252.333,0.567,10.46
150525,2015,5,25,240.867,0.567,9.35
150602,2015,6,2,242.133,0.505,10.85
150604,2015,6,4,242.089,0.598,10.05
150626,2015,6,26,249.933,0.505,9.54
150712,2015,7,12,254.767,0.258,9.31
150713,2015,7,13,254.233,0.32,10.18
150714,2015,7,14,255.838,0.258,10.18
150715,2015,7,15,252.167,0.258,10.68
150716,2015,7,16,257.556,0.32,10.17
150718,2015,7,18,254.477,0.258,9.92
150719,2015,7,19,262.633,0.32,10.32
150721,2015,7,21,253.8,0.289,9.94
150723,2015,7,23,250.356,0.32,9.81
150724,2015,7,24,265.622,0.351,10.09
150726,2015,7,26,253.578,0.258,10.2
150727,2015,7,27,254.477,0.258,9.94
150728,2015,7,28,260.567,0.289,10.21
150729,2015,7,29,255.9,0.382,9.19
150730,2015,7,30,252.612,0.258,10.69
150802,2015,8,2,252.322,0.258,9.85
150804,2015,8,4,263.9,0.32,10.26
150805,2015,8,5,254.767,0.32,9.76
150806,2015,8,6,261.933,0.351,10.27
150807,2015,8,7,265.2,0.289,9.88
150808,2015,8,8,253.144,0.32,10.15
150809,2015,8,9,256.578,0.289,10.15
150810,2015,8,10,248.578,0.289,10.16
150811,2015,8,11,251.8,0.289,10.17
150816,2015,8,16,256.867,0.227,9.84
150818,2015,8,18,255.767,0.32,9.36
150821,2015,8,21,257.033,0.258,10.66
150823,2015,8,23,254.878,0.258,10.55
150827,2015,8,27,261.333,0.196,10.99
150828,2015,8,28,260.74,0.134,10.49
150829,2015,8,29,262.033,0.196,9.53
150831,2015,8,31,251.075,0.258,10.82
150901,2015,9,1,264.533,0.258,10.09
151011,2015,10,11,254.9,0.196,10.57
151012,2015,10,12,257.056,0.32,9.31
151014,2015,10,14,254.267,0.196,9.88
151015,2015,10,15,269.689,0.32,9.32
151026,2015,10,26,263.111,0.041,10.34
151027,2015,10,27,270.122,0.165,9.83
151028,2015,10,28,275.811,0.103,10.32
151102,2015,11,2,276.656,0.041,10.3
151122,2015,11,22,263.044,0.196,9.05
151123,2015,11,23,263.67,0.165,9.95
151124,2015,11,24,274.133,0.227,9.84
151203,2015,12,3,268.233,0.165,9.48
151204,2015,12,4,263.756,0.134,10.58
151209,2015,12,9,259.075,0.196,10.55
151210,2015,12,10,270.133,0.134,10.58
151211,2015,12,11,260.071,0.536,9.43
151214,2015,12,14,257.989,0.134,9.38
151216,2015,12,16,263.933,0.165,9.2
151224,2015,12,24,257.011,0.227,10.87
151225,2015,12,25,259.075,0.289,9.51
151228,2015,12,28,281.589,0.134,10.28
160107,2016,1,7,250.444,0.103,10.55
160109,2016,1,9,248.0,0.134,9.94
160110,2016,1,10,257.936,0.134,9.91
160111,2016,1,11,270.933,0.227,10.41
160112,2016,1,12,243.486,0.505,10.97
160115,2016,1,15,250.311,0.134,9.89
160116,2016,1,16,252.6,0.134,9.67
160117,2016,1,17,240.278,0.134,10.82
160118,2016,1,18,247.156,0.196,10.96
160119,2016,1,19,257.936,0.165,10.71
160120,2016,1,20,256.533,0.258,9.08
160121,2016,1,21,255.878,0.196,9.76
160122,2016,1,22,256.487,0.165,9.39
160123,2016,1,23,246.578,0.165,9.83
160124,2016,1,24,245.878,0.196,9.76
160128,2016,1,28,239.2,0.103,10.36
160129,2016,1,29,257.289,0.227,9.52
160131,2016,1,31,251.267,0.103,9.9
160201,2016,2,1,255.244,0.103,10.31
160202,2016,2,2,244.822,0.196,9.46
160203,2016,2,3,254.078,0.134,10.35
160204,2016,2,4,257.925,0.165,9.65
160206,2016,2,6,246.256,0.134,10.8
160210,2016,2,10,256.122,0.196,9.32
160211,2016,2,11,257.925,0.196,9.41
160212,2016,2,12,273.3,0.134,9.84
160213,2016,2,13,258.4,0.196,10.53
160214,2016,2,14,262.211,0.196,9.88
160215,2016,2,15,254.5,0.134,10.83
160216,2016,2,16,259.0,0.258,10.22
160219,2016,2,19,256.822,0.32,9.42
160223,2016,2,23,258.067,0.134,10.66
160225,2016,2,25,249.822,0.196,9.4
160229,2016,2,29,241.733,0.32,9.15
160301,2016,3,1,252.722,0.258,10.01
160302,2016,3,2,249.911,0.32,10.41
160303,2016,3,3,244.9,0.134,10.42
160312,2016,3,12,243.6,0.165,10.02
160313,2016,3,13,247.889,0.072,9.47
160322,2016,3,22,251.478,0.196,10.55
160323,2016,3,23,258.548,0.134,10.25
160327,2016,3,27,241.0,0.196,10.5
160403,2016,4,3,247.133,0.258,9.31
160404,2016,4,4,249.344,0.227,10.15
160405,2016,4,5,256.311,0.32,9.65
160417,2016,4,17,241.2,0.289,9.92
160421,2016,4,21,252.767,0.258,10.61
160424,2016,4,24,255.25,0.289,10.09
160425,2016,4,25,255.833,0.227,10.06
160426,2016,4,26,248.2,0.32,10.2
160427,2016,4,27,250.9,0.227,10.04
160428,2016,4,28,246.967,0.382,9.16
160430,2016,4,30,247.544,0.258,9.91
160504,2016,5,4,251.556,0.32,9.52
160506,2016,5,6,250.8,0.227,9.99
160516,2016,5,16,244.122,0.32,9.11
160517,2016,5,17,248.554,0.382,10.12
160614,2016,6,14,252.237,0.413,9.78
160622,2016,6,22,247.078,0.32,9.02
160706,2016,7,6,249.657,0.382,9.29
160707,2016,7,7,253.678,0.382,9.68
